ID	adj.P.Val	P.Value	logFC	miRNA_ID
hsa-miR-197-3p	0.4317	0.1415429	0.92651	hsa-miR-197-3p
hsa-miR-664b-3p	0.4317	0.1418187	-0.51705	hsa-miR-664b-3p
hsa-miR-1246	0.4324	0.1425677	-0.47973	hsa-miR-1246
hsa-miR-495-3p	0.4327	0.1443535	-0.5761	hsa-miR-495-3p
hsa-miR-3161	0.4327	0.1444815	0.87892	hsa-miR-3161
hsa-miR-563	0.4327	0.1451139	-0.80698	hsa-miR-563
hsa-miR-374a-5p	0.4327	0.1452422	0.85933	hsa-miR-374a-5p
hsa-miR-606	0.4327	0.1452732	-0.58595	hsa-miR-606
hsa-miR-936	0.434	0.1462552	-0.40956	hsa-miR-936
hsa-miR-505-3p	0.4369	0.1482635	-0.43009	hsa-miR-505-3p
hsa-miR-384	0.4369	0.1482751	-0.92981	hsa-miR-384
hsa-miR-539-5p	0.4384	0.1493182	-0.58589	hsa-miR-539-5p
hsa-miR-4435	0.4399	0.1503411	-0.8857	hsa-miR-4435
hsa-miR-891a-5p	0.4453	0.1527728	-0.97717	hsa-miR-891a-5p
hsa-miR-382-3p	0.4453	0.1532599	-0.63087	hsa-miR-382-3p
hsa-miR-766-3p	0.4508	0.1557116	-0.59709	hsa-miR-766-3p
hsa-miR-5010-5p	0.4564	0.1581897	-0.24089	hsa-miR-5010-5p
hsa-miR-641	0.4645	0.1615626	-0.32647	hsa-miR-641
GAPDH	0.4704	0.1648636	-0.66776	
hsa-miR-1270	0.4704	0.1652696	-0.63592	hsa-miR-1270
hsa-miR-298	0.4704	0.1654743	-0.41618	hsa-miR-298
hsa-miR-761	0.4704	0.1658822	-0.47266	hsa-miR-761
hsa-miR-1908-5p	0.4714	0.1671194	-0.2889	hsa-miR-1908-5p
hsa-miR-140-3p	0.4714	0.1673692	-1.12915	hsa-miR-140-3p
hsa-miR-504-5p	0.4781	0.170322	-0.65408	hsa-miR-504-5p
hsa-miR-630	0.4846	0.1732408	0.70891	hsa-miR-630
hsa-miR-421	0.4852	0.1740255	0.73442	hsa-miR-421
hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p	0.4874	0.1755908	-0.40053	hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p
hsa-miR-551b-3p	0.4874	0.1760168	0.63479	hsa-miR-551b-3p
hsa-miR-133b	0.4884	0.1769601	-0.4442	hsa-miR-133b
hsa-miR-554	0.4912	0.178579	-0.25361	hsa-miR-554
hsa-miR-200a-3p	0.496	0.1808907	-0.53428	hsa-miR-200a-3p
hsa-miR-148b-3p	0.496	0.1815234	0.80701	hsa-miR-148b-3p
hsa-miR-98-5p	0.4991	0.1832566	0.69248	hsa-miR-98-5p
hsa-miR-4647	0.4999	0.1841549	-0.78837	hsa-miR-4647
hsa-miR-340-5p	0.5005	0.1849491	1.08649	hsa-miR-340-5p
hsa-miR-656-3p	0.5018	0.1860633	-0.41131	hsa-miR-656-3p
hsa-miR-509-5p	0.502	0.1874403	-0.7149	hsa-miR-509-5p
hsa-miR-127-3p	0.502	0.1878942	-1.08479	hsa-miR-127-3p
hsa-miR-497-5p	0.502	0.1879596	-0.68265	hsa-miR-497-5p
hsa-miR-524-3p	0.5053	0.1897837	-0.23344	hsa-miR-524-3p
hsa-miR-661	0.5099	0.1921409	0.51566	hsa-miR-661
hsa-miR-548ar-3p	0.5239	0.198051	-0.47579	hsa-miR-548ar-3p
hsa-miR-2117	0.5278	0.2001454	-0.6627	hsa-miR-2117
hsa-miR-3130-3p	0.531	0.2038208	-0.44238	hsa-miR-3130-3p
hsa-miR-555	0.531	0.2038575	-1.10025	hsa-miR-555
hsa-miR-429	0.531	0.2041876	-0.23505	hsa-miR-429
hsa-miR-671-3p	0.531	0.2041876	-0.23505	hsa-miR-671-3p
ath-miR159a	0.531	0.2045804	-0.34845	ath-miR159a
hsa-miR-30d-5p	0.5315	0.2053971	0.73997	hsa-miR-30d-5p
hsa-miR-573	0.5319	0.2062056	-0.71107	hsa-miR-573
hsa-miR-1255b-5p	0.5359	0.2087027	-0.43103	hsa-miR-1255b-5p
hsa-miR-142-5p	0.5359	0.2090361	-0.50675	hsa-miR-142-5p
hsa-miR-501-3p	0.5434	0.2133136	-0.41155	hsa-miR-501-3p
hsa-miR-1204	0.5434	0.2135372	-0.43767	hsa-miR-1204
hsa-miR-337-3p	0.5434	0.2141956	-0.58784	hsa-miR-337-3p
hsa-miR-642a-5p	0.5434	0.215072	0.40268	hsa-miR-642a-5p
hsa-miR-1-5p	0.5434	0.2152704	-0.35811	hsa-miR-1-5p
hsa-miR-548q	0.5466	0.2171786	-0.62928	hsa-miR-548q
hsa-miR-1281	0.5476	0.2182559	-0.50177	hsa-miR-1281
hsa-miR-197-5p	0.5479	0.2190424	0.70478	hsa-miR-197-5p
hsa-miR-451a	0.5484	0.2208435	0.66363	hsa-miR-451a
hsa-miR-1254	0.5484	0.2211012	-0.22985	hsa-miR-1254
hsa-miR-302d-3p	0.5484	0.2212119	-0.45514	hsa-miR-302d-3p
hsa-miR-365b-5p	0.5505	0.2227153	-0.32581	hsa-miR-365b-5p
hsa-miR-10b-5p	0.551	0.223592	-0.87455	hsa-miR-10b-5p
hsa-miR-627-3p	0.5668	0.2306964	-0.46205	hsa-miR-627-3p
hsa-miR-203a-3p	0.5769	0.2354875	0.31417	hsa-miR-203a-3p
hsa-miR-369-3p	0.5781	0.2367054	-0.67881	hsa-miR-369-3p
hsa-miR-575	0.5785	0.2382267	0.81418	hsa-miR-575
hsa-miR-301b-3p	0.5785	0.2382573	-0.74305	hsa-miR-301b-3p
hsa-miR-548g-3p	0.58	0.240242	-0.39485	hsa-miR-548g-3p
hsa-miR-493-3p	0.58	0.2408394	-0.52885	hsa-miR-493-3p
hsa-miR-1226-3p	0.58	0.2409714	-0.8475	hsa-miR-1226-3p
hsa-miR-551a	0.5887	0.2452934	-0.61715	hsa-miR-551a
hsa-miR-1908-3p	0.5977	0.2497594	-0.45266	hsa-miR-1908-3p
hsa-miR-376a-3p	0.5988	0.2509353	-0.669	hsa-miR-376a-3p
hsa-miR-1180-3p	0.6071	0.2551399	-0.55737	hsa-miR-1180-3p
hsa-miR-1915-3p	0.6094	0.2578691	-0.42967	hsa-miR-1915-3p
hsa-miR-548b-3p	0.6094	0.2590089	-0.90529	hsa-miR-548b-3p
hsa-miR-1972	0.6094	0.2598417	-0.77835	hsa-miR-1972
hsa-miR-625-5p	0.6094	0.2598811	-0.69192	hsa-miR-625-5p
ACTB	0.6094	0.259925	0.45728	
hsa-miR-23c	0.6094	0.2605227	-0.47949	hsa-miR-23c
hsa-miR-875-3p	0.6125	0.263294	-0.24428	hsa-miR-875-3p
hsa-miR-935	0.6125	0.2633455	-0.47238	hsa-miR-935
hsa-miR-30e-5p	0.6134	0.2644649	-0.48281	hsa-miR-30e-5p
hsa-miR-92a-3p	0.6134	0.2652202	0.77773	hsa-miR-92a-3p
hsa-miR-4485-3p	0.6141	0.2665781	0.52823	hsa-miR-4485-3p
hsa-miR-4286	0.6141	0.2669905	-0.34765	hsa-miR-4286
hsa-miR-1278	0.6161	0.2686046	-0.20989	hsa-miR-1278
hsa-miR-937-3p	0.6186	0.2705105	-0.57908	hsa-miR-937-3p
hsa-miR-378f	0.6186	0.27121	0.72782	hsa-miR-378f
hsa-miR-607	0.6187	0.2726097	-0.41748	hsa-miR-607
hsa-miR-577	0.6187	0.2730785	-0.76357	hsa-miR-577
hsa-miR-548ai+hsa-miR-570-5p	0.6187	0.2734822	0.98045	hsa-miR-548ai+hsa-miR-570-5p
hsa-miR-150-5p	0.6196	0.2746114	0.45461	hsa-miR-150-5p
hsa-miR-1185-5p	0.626	0.278222	0.43781	hsa-miR-1185-5p
hsa-miR-302c-3p	0.6273	0.279536	-0.98072	hsa-miR-302c-3p
hsa-miR-455-5p	0.628	0.2807811	-0.29111	hsa-miR-455-5p
hsa-miR-182-5p	0.628	0.2813921	-0.46939	hsa-miR-182-5p
hsa-miR-219b-3p	0.6282	0.2828026	0.66518	hsa-miR-219b-3p
hsa-miR-3150b-3p	0.6282	0.2829901	-0.47011	hsa-miR-3150b-3p
hsa-miR-374c-5p	0.6353	0.2869692	-0.27523	hsa-miR-374c-5p
hsa-miR-516b-5p	0.6357	0.2879021	0.37441	hsa-miR-516b-5p
hsa-miR-548j-5p	0.6357	0.2886698	-0.3433	hsa-miR-548j-5p
hsa-miR-18b-5p	0.6369	0.2899733	-0.59361	hsa-miR-18b-5p
hsa-miR-508-5p	0.6404	0.292336	-0.22349	hsa-miR-508-5p
hsa-miR-1297	0.6415	0.293619	-0.59354	hsa-miR-1297
hsa-miR-553	0.6415	0.2944162	-0.17696	hsa-miR-553
hsa-miR-544a	0.6438	0.2962421	-0.64197	hsa-miR-544a
hsa-miR-3180	0.6454	0.2979386	-0.87033	hsa-miR-3180
hsa-miR-100-5p	0.6454	0.2989796	0.71141	hsa-miR-100-5p
hsa-miR-515-3p	0.6454	0.299338	-0.99068	hsa-miR-515-3p
hsa-miR-500a-5p+hsa-miR-501-5p	0.6472	0.3019451	0.39041	hsa-miR-500a-5p+hsa-miR-501-5p
hsa-let-7f-5p	0.6472	0.302312	0.73735	hsa-let-7f-5p
hsa-miR-543	0.6472	0.3025686	-0.44762	hsa-miR-543
hsa-miR-1264	0.6472	0.3032919	0.37858	hsa-miR-1264
hsa-miR-890	0.6475	0.3042051	-0.53195	hsa-miR-890
hsa-miR-32-5p	0.6485	0.3054333	0.62866	hsa-miR-32-5p
hsa-miR-196a-5p	0.65	0.3075237	0.68486	hsa-miR-196a-5p
hsa-miR-210-3p	0.65	0.3081781	-0.48216	hsa-miR-210-3p
hsa-miR-513b-5p	0.65	0.3085106	-0.63645	hsa-miR-513b-5p
hsa-miR-664a-3p	0.6574	0.3131777	-0.39186	hsa-miR-664a-3p
hsa-miR-628-3p	0.6574	0.3136368	-0.69777	hsa-miR-628-3p
hsa-miR-181b-2-3p	0.6646	0.317872	-0.92903	hsa-miR-181b-2-3p
hsa-miR-885-5p	0.6646	0.3186739	-0.5065	hsa-miR-885-5p
hsa-miR-323a-3p	0.6681	0.3211348	0.54941	hsa-miR-323a-3p
hsa-miR-562	0.6697	0.3233388	-0.17702	hsa-miR-562
hsa-miR-320c	0.6697	0.3235092	-0.20144	hsa-miR-320c
hsa-miR-518d-3p	0.6723	0.3255746	-0.3872	hsa-miR-518d-3p
hsa-miR-133a-5p	0.6783	0.3293253	-0.61925	hsa-miR-133a-5p
hsa-miR-499a-3p	0.6785	0.3302523	-0.80965	hsa-miR-499a-3p
hsa-miR-617	0.6787	0.3311417	-0.47925	hsa-miR-617
NEG_C	0.6791	0.3321651	0.1961	
hsa-miR-183-5p	0.6847	0.3357252	-0.53531	hsa-miR-183-5p
hsa-miR-30a-3p	0.6973	0.3428264	-0.24512	hsa-miR-30a-3p
hsa-miR-767-5p	0.6973	0.3436861	-0.53936	hsa-miR-767-5p
hsa-miR-329-5p	0.6973	0.3450888	-0.5606	hsa-miR-329-5p
hsa-miR-802	0.6973	0.3452857	-0.48632	hsa-miR-802
hsa-miR-296-3p	0.7006	0.3477502	-0.21895	hsa-miR-296-3p
hsa-miR-614	0.7022	0.3493998	0.27079	hsa-miR-614
hsa-miR-3605-5p	0.7068	0.3541817	-0.2451	hsa-miR-3605-5p
hsa-miR-631	0.7068	0.3550485	0.58181	hsa-miR-631
hsa-miR-1249-5p	0.7068	0.3567521	-0.19289	hsa-miR-1249-5p
hsa-miR-132-3p	0.7068	0.3567521	-0.19289	hsa-miR-132-3p
hsa-miR-596	0.7068	0.3567521	-0.19289	hsa-miR-596
hsa-miR-30b-5p	0.7068	0.3568319	0.37168	hsa-miR-30b-5p
hsa-miR-296-5p	0.7068	0.3576677	-0.17113	hsa-miR-296-5p
hsa-miR-328-5p	0.7097	0.3599899	-0.5385	hsa-miR-328-5p
osa-miR442	0.7103	0.3617172	0.24241	osa-miR442
hsa-miR-125a-5p	0.7103	0.3619917	0.41061	hsa-miR-125a-5p
hsa-miR-564	0.7114	0.3634545	-0.81425	hsa-miR-564
hsa-miR-520a-5p	0.7133	0.3652589	-0.63244	hsa-miR-520a-5p
hsa-miR-34a-5p	0.7135	0.3662115	0.48244	hsa-miR-34a-5p
hsa-miR-1303	0.7146	0.3676408	-0.19012	hsa-miR-1303
hsa-miR-1250-5p	0.7171	0.370011	-0.75853	hsa-miR-1250-5p
hsa-miR-133a-3p	0.7171	0.3714733	-0.242	hsa-miR-133a-3p
hsa-miR-520h	0.7171	0.371818	-0.37844	hsa-miR-520h
hsa-miR-3613-3p	0.7171	0.3723991	0.55519	hsa-miR-3613-3p
hsa-let-7i-5p	0.7193	0.3756989	0.36947	hsa-let-7i-5p
hsa-miR-488-3p	0.7193	0.3759951	-0.84602	hsa-miR-488-3p
hsa-miR-654-3p	0.7193	0.3761709	-0.46202	hsa-miR-654-3p
hsa-miR-1262	0.7275	0.3819298	0.34891	hsa-miR-1262
hsa-miR-449b-5p	0.7275	0.3822134	-0.19491	hsa-miR-449b-5p
hsa-miR-3202	0.7304	0.3845926	0.30428	hsa-miR-3202
hsa-miR-1973	0.7427	0.393242	-0.40571	hsa-miR-1973
hsa-miR-769-5p	0.7427	0.3936762	0.36933	hsa-miR-769-5p
hsa-miR-181d-3p	0.7427	0.3937692	-0.2497	hsa-miR-181d-3p
hsa-miR-151b	0.7435	0.3957717	-0.15999	hsa-miR-151b
hsa-miR-3196	0.7435	0.3969453	-0.36292	hsa-miR-3196
hsa-miR-3140-5p	0.7435	0.3970125	-0.18273	hsa-miR-3140-5p
hsa-miR-592	0.7435	0.3977677	-0.82758	hsa-miR-592
hsa-miR-593-3p	0.7507	0.4032736	-0.64578	hsa-miR-593-3p
hsa-miR-423-5p	0.7507	0.4034514	0.34148	hsa-miR-423-5p
hsa-miR-3690	0.753	0.4055905	-0.40656	hsa-miR-3690
hsa-miR-519c-3p	0.7535	0.4072214	-0.48535	hsa-miR-519c-3p
hsa-miR-548a-3p	0.7535	0.4097938	0.32841	hsa-miR-548a-3p
NEG_E	0.7535	0.4100122	0.39424	
hsa-miR-101-3p	0.7535	0.4101887	-0.66099	hsa-miR-101-3p
hsa-miR-1305	0.7535	0.4104132	0.56679	hsa-miR-1305
hsa-miR-1200	0.7536	0.411384	-0.21751	hsa-miR-1200
hsa-miR-874-5p	0.7557	0.4134555	0.41228	hsa-miR-874-5p
hsa-miR-1910-3p	0.7603	0.4175632	0.27754	hsa-miR-1910-3p
hsa-miR-3614-3p	0.7603	0.4178033	-0.17754	hsa-miR-3614-3p
hsa-miR-378h	0.7608	0.4189748	0.429	hsa-miR-378h
hsa-miR-195-5p	0.7614	0.4202197	-0.49775	hsa-miR-195-5p
hsa-miR-590-5p	0.7649	0.4231367	-0.20835	hsa-miR-590-5p
hsa-miR-518c-3p	0.7649	0.4241861	-0.40687	hsa-miR-518c-3p
hsa-miR-450b-3p	0.7649	0.4249328	-0.52684	hsa-miR-450b-3p
hsa-miR-1299	0.7652	0.4264539	-0.47853	hsa-miR-1299
hsa-miR-629-5p	0.7652	0.4269556	-0.50714	hsa-miR-629-5p
hsa-miR-887-3p	0.7682	0.4299042	-0.26429	hsa-miR-887-3p
hsa-miR-1248	0.7682	0.4304675	-0.18227	hsa-miR-1248
hsa-miR-218-5p	0.7697	0.4335662	-0.35268	hsa-miR-218-5p
hsa-miR-4787-3p	0.7697	0.4339376	-0.32332	hsa-miR-4787-3p
hsa-miR-3168	0.7697	0.434114	0.40887	hsa-miR-3168
hsa-miR-331-3p	0.7756	0.4395006	-0.28706	hsa-miR-331-3p
hsa-miR-182-3p	0.7756	0.4405833	0.27008	hsa-miR-182-3p
hsa-miR-373-3p	0.7756	0.4407792	-0.60766	hsa-miR-373-3p
hsa-miR-934	0.7756	0.4411971	0.36767	hsa-miR-934
hsa-miR-1273c	0.7762	0.4425134	-0.60044	hsa-miR-1273c
hsa-miR-432-5p	0.7762	0.4434183	-0.28226	hsa-miR-432-5p
hsa-miR-587	0.7763	0.4443842	0.32598	hsa-miR-587
hsa-miR-184	0.7767	0.4455511	-0.17064	hsa-miR-184
hsa-miR-1277-3p	0.7801	0.448461	0.34934	hsa-miR-1277-3p
hsa-miR-196b-5p	0.7815	0.4502191	0.28392	hsa-miR-196b-5p
hsa-miR-487a-3p	0.7817	0.4512708	0.32202	hsa-miR-487a-3p
hsa-miR-409-5p	0.7829	0.4528858	-0.24281	hsa-miR-409-5p
hsa-miR-129-2-3p	0.7856	0.4553956	0.57663	hsa-miR-129-2-3p
hsa-miR-450a-2-3p	0.791	0.459511	-0.23681	hsa-miR-450a-2-3p
hsa-miR-3144-5p	0.7941	0.4622801	-0.61312	hsa-miR-3144-5p
hsa-miR-136-5p	0.7958	0.4642061	0.36245	hsa-miR-136-5p
hsa-miR-1287-5p	0.7964	0.4660266	0.54555	hsa-miR-1287-5p
hsa-miR-411-5p	0.7964	0.4667584	0.32485	hsa-miR-411-5p
hsa-miR-363-3p	0.7964	0.4674583	-0.22267	hsa-miR-363-3p
hsa-miR-103a-3p	0.7974	0.4690301	-0.68112	hsa-miR-103a-3p
hsa-miR-1253	0.8008	0.4719708	-0.23469	hsa-miR-1253
hsa-miR-324-5p	0.8017	0.4735393	-0.59587	hsa-miR-324-5p
hsa-miR-3131	0.8017	0.4744279	-0.1383	hsa-miR-3131
hsa-miR-542-3p	0.8019	0.4762749	0.3103	hsa-miR-542-3p
POS_E	0.8019	0.4778392	0.30795	
NEG_F	0.8019	0.4789978	-0.09687	
hsa-miR-199b-5p	0.8019	0.4794043	-0.16223	hsa-miR-199b-5p
hsa-miR-205-5p	0.8019	0.4794043	-0.16223	hsa-miR-205-5p
hsa-miR-331-5p	0.8076	0.4839478	0.22661	hsa-miR-331-5p
hsa-miR-574-3p	0.8076	0.4847467	-0.37943	hsa-miR-574-3p
hsa-miR-612	0.8077	0.4857894	-0.17651	hsa-miR-612
hsa-miR-532-5p	0.8137	0.4903737	0.37388	hsa-miR-532-5p
hsa-miR-376c-5p	0.8145	0.4924464	-0.30638	hsa-miR-376c-5p
hsa-miR-4521	0.8145	0.492855	-0.25552	hsa-miR-4521
NEG_H	0.8249	0.5015156	-0.09455	
hsa-miR-219a-2-3p	0.8249	0.5020563	-0.50976	hsa-miR-219a-2-3p
hsa-miR-299-3p	0.8249	0.5029486	-0.4524	hsa-miR-299-3p
hsa-miR-196a-3p	0.8249	0.5037637	0.53526	hsa-miR-196a-3p
hsa-miR-941	0.8249	0.5043387	-0.59431	hsa-miR-941
hsa-miR-503-3p	0.8249	0.5066749	-0.38674	hsa-miR-503-3p
hsa-miR-502-3p	0.8249	0.5069583	-0.14701	hsa-miR-502-3p
hsa-miR-1236-3p	0.8249	0.5070874	-0.41433	hsa-miR-1236-3p
hsa-miR-216b-5p	0.8258	0.5087854	-0.28976	hsa-miR-216b-5p
hsa-miR-675-5p	0.8258	0.5096546	-0.57436	hsa-miR-675-5p
hsa-miR-589-5p	0.827	0.5113987	-0.49304	hsa-miR-589-5p
hsa-miR-490-3p	0.8331	0.5161765	-0.51736	hsa-miR-490-3p
hsa-miR-454-3p	0.8361	0.519269	-0.42092	hsa-miR-454-3p
hsa-miR-1827	0.8361	0.5214657	-0.44404	hsa-miR-1827
hsa-miR-1323	0.8361	0.5221859	0.25996	hsa-miR-1323
hsa-miR-576-3p	0.8361	0.5226868	-0.1514	hsa-miR-576-3p
hsa-miR-1193	0.8361	0.5231493	0.53275	hsa-miR-1193
hsa-miR-570-3p	0.8361	0.5250151	0.41514	hsa-miR-570-3p
hsa-miR-378b	0.8361	0.5253151	-0.35179	hsa-miR-378b
hsa-miR-345-3p	0.8361	0.5260901	-0.41163	hsa-miR-345-3p
hsa-miR-10a-5p	0.8405	0.5298888	-0.37263	hsa-miR-10a-5p
hsa-miR-509-3-5p	0.8437	0.5335192	-0.55568	hsa-miR-509-3-5p
hsa-miR-21-5p	0.8437	0.5353693	0.2195	hsa-miR-21-5p
hsa-miR-194-5p	0.8437	0.5358641	-0.30882	hsa-miR-194-5p
hsa-miR-504-3p	0.8437	0.536013	-0.27034	hsa-miR-504-3p
hsa-miR-448	0.8437	0.537611	0.33207	hsa-miR-448
hsa-miR-1185-2-3p	0.8437	0.5383397	0.35769	hsa-miR-1185-2-3p
hsa-miR-1202	0.8437	0.5390409	-0.55951	hsa-miR-1202
hsa-miR-1245b-5p	0.8456	0.5420689	-0.32628	hsa-miR-1245b-5p
hsa-miR-188-5p	0.8456	0.5432644	-0.53534	hsa-miR-188-5p
hsa-miR-1287-3p	0.8456	0.5433127	0.5245	hsa-miR-1287-3p
hsa-miR-320e	0.8536	0.549456	0.31636	hsa-miR-320e
hsa-miR-642a-3p	0.854	0.5507975	0.25813	hsa-miR-642a-3p
hsa-miR-513a-3p	0.8583	0.5554177	-0.2794	hsa-miR-513a-3p
hsa-miR-650	0.8583	0.5556315	-0.1165	hsa-miR-650
hsa-miR-1304-3p	0.8584	0.5567325	-0.12763	hsa-miR-1304-3p
hsa-miR-34b-3p	0.8603	0.5598964	-0.32813	hsa-miR-34b-3p
hsa-miR-660-5p	0.8603	0.5600555	0.28111	hsa-miR-660-5p
hsa-miR-595	0.861	0.5619332	-0.49073	hsa-miR-595
hsa-miR-603	0.861	0.5644142	0.20997	hsa-miR-603
hsa-miR-302f	0.861	0.5652612	-0.50836	hsa-miR-302f
hsa-miR-654-5p	0.861	0.5654494	0.38535	hsa-miR-654-5p
hsa-miR-506-5p	0.861	0.5656994	-0.17294	hsa-miR-506-5p
hsa-miR-519e-3p	0.8671	0.5710887	-0.29711	hsa-miR-519e-3p
hsa-miR-626	0.8671	0.5717699	-0.47255	hsa-miR-626
hsa-miR-4488	0.8679	0.5738866	-0.18107	hsa-miR-4488
hsa-miR-1-3p	0.8679	0.5747709	-0.36278	hsa-miR-1-3p
hsa-miR-301b-5p	0.8679	0.5756269	-0.1086	hsa-miR-301b-5p
hsa-miR-503-5p	0.8679	0.576644	-0.50588	hsa-miR-503-5p
